               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025861,            0.024523,           0.0042195,             0.76372,              0.7832,             0.85396,             0.59841,            0.020828,            0.011965,           0.0043419,           0.0097011,           0.0097011,           0.0097011
                  37,            0.025949,            0.024078,           0.0042416,             0.75636,             0.85948,             0.86121,             0.61859,            0.021104,            0.011416,           0.0071119,            0.009684,            0.009684,            0.009684
                  38,             0.02543,            0.025002,           0.0041623,             0.82145,             0.83815,             0.88812,             0.62185,            0.021049,            0.011329,            0.003166,           0.0096664,           0.0096664,           0.0096664
                  39,            0.025452,            0.024058,           0.0041748,              0.8482,             0.84187,             0.90226,             0.64338,            0.020851,            0.011262,           0.0032839,           0.0096484,           0.0096484,           0.0096484
                  40,            0.025206,            0.023939,           0.0037278,             0.81821,             0.78611,             0.87294,             0.62263,             0.02047,            0.011471,           0.0025248,           0.0096299,           0.0096299,           0.0096299
                  41,            0.024973,            0.023716,           0.0033828,             0.81369,             0.87289,              0.9178,             0.68758,            0.019356,             0.01061,           0.0043288,            0.009611,            0.009611,            0.009611
                  42,            0.024391,            0.023775,           0.0037915,             0.86407,              0.8136,             0.89625,             0.64973,             0.02001,            0.010986,           0.0047136,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024604,            0.023908,            0.004018,             0.80099,             0.82443,             0.87123,             0.61408,             0.02098,            0.011272,             0.00511,           0.0095717,           0.0095717,           0.0095717
                  44,            0.024872,            0.024104,           0.0035857,             0.84036,             0.84995,             0.90445,             0.64873,            0.020528,            0.012075,           0.0021213,           0.0095514,           0.0095514,           0.0095514
                  45,            0.024618,            0.023959,           0.0035938,             0.83795,             0.84144,             0.88732,             0.65081,            0.020275,            0.011052,           0.0027778,           0.0095307,           0.0095307,           0.0095307
                  46,            0.024686,             0.02389,           0.0035146,             0.84408,             0.84327,              0.9119,             0.66673,            0.020225,            0.010505,             0.00181,           0.0095095,           0.0095095,           0.0095095
                  47,            0.024125,            0.023642,            0.003783,             0.87289,             0.86488,             0.91583,             0.67889,             0.01937,            0.010192,           0.0018602,           0.0094879,           0.0094879,           0.0094879
                  48,            0.023821,            0.022828,           0.0038977,             0.85443,             0.86693,             0.93333,             0.70198,            0.018425,             0.01036,           0.0014089,           0.0094659,           0.0094659,           0.0094659
                  49,             0.02404,            0.022889,           0.0031518,             0.89031,             0.84476,             0.92785,             0.68667,            0.019429,           0.0098403,           0.0019952,           0.0094434,           0.0094434,           0.0094434
